page,clicks,impressions,ctr,position
https://www.yourpropertyguide.com.au/suburbs/bullsbrook-wa-6084/waratah-street,3,66,0.0455,8.0
https://www.yourpropertyguide.com.au/suburbs/donnybrook-vic-3064/pulchella-crescent,3,123,0.0244,8.0
https://www.yourpropertyguide.com.au/suburbs/seaford-vic-3198/rental-market,3,34,0.0882,11.1
https://www.yourpropertyguide.com.au/suburbs/stoneville-wa-6081/illarra-close,3,35,0.0857,8.7
https://www.yourpropertyguide.com.au/suburbs/taigum-qld-4018,3,4130,0.0007,8.6
https://www.yourpropertyguide.com.au/suburbs/tarneit-vic-3029/dragonfly-court,3,29,0.1034,7.9
https://www.yourpropertyguide.com.au/suburbs/tonimbuk-vic-3815/sanders-road,3,15,0.2,8.7
https://www.yourpropertyguide.com.au/suburbs/unley-sa-5061/ambler-place,3,17,0.1765,6.9
https://www.yourpropertyguide.com.au/best-suburbs/highest-growth/sa,2,103,0.0194,30.1
https://www.yourpropertyguide.com.au/best-suburbs/most-walkable/vic,2,34,0.0588,8.9
https://www.yourpropertyguide.com.au/blog/top-5-suburbs-families-moreton-bay,2,149,0.0134,24.1
https://www.yourpropertyguide.com.au/guides/real-estate-commission-wa,2,488,0.0041,10.2
https://www.yourpropertyguide.com.au/guides/renters-rights-act,2,289,0.0069,29.7
https://www.yourpropertyguide.com.au/postcodes/2170,2,5675,0.0004,9.3
https://www.yourpropertyguide.com.au/property/115-terrys-avenue-tecoma-vic-3160,2,12,0.1667,7.3
https://www.yourpropertyguide.com.au/property/12-blencoe-terrace-calderwood-nsw-2527,2,12,0.1667,6.3
https://www.yourpropertyguide.com.au/property/12-bradshaw-crescent-manning-wa-6152,2,53,0.0377,9.2
https://www.yourpropertyguide.com.au/property/12-frampton-drive-gilead-nsw-2560,2,5,0.4,3.4
https://www.yourpropertyguide.com.au/property/13-limelight-street-tarneit-vic-3029,2,109,0.0183,10.9
https://www.yourpropertyguide.com.au/property/14-centinela-street-tarneit-vic-3029,2,7,0.2857,6.7
https://www.yourpropertyguide.com.au/property/17-ollis-street-quindalup-wa-6281,2,70,0.0286,8.8
https://www.yourpropertyguide.com.au/property/17-vega-street-balwyn-north-vic-3104,2,81,0.0247,10.0
https://www.yourpropertyguide.com.au/property/18-kempwood-close-adamstown-heights-nsw-2289,2,4,0.5,8
https://www.yourpropertyguide.com.au/property/18-wallace-street-burwood-nsw-2134,2,21,0.0952,8.5
https://www.yourpropertyguide.com.au/property/19-generosa-grove-tarneit-vic-3029,2,28,0.0714,6
https://www.yourpropertyguide.com.au/property/19-jingellic-drive-buderim-qld-4556,2,5,0.4,5.2
https://www.yourpropertyguide.com.au/property/19-paterson-road-walloon-qld-4306,2,43,0.0465,7.9
https://www.yourpropertyguide.com.au/property/22-brown-street-avondale-heights-vic-3034,2,13,0.1538,5.1
https://www.yourpropertyguide.com.au/property/22-clarke-street-port-noarlunga-sa-5167,2,5,0.4,6.2
https://www.yourpropertyguide.com.au/property/22-hammond-place-spalding-wa-6530,2,7,0.2857,5.7
https://www.yourpropertyguide.com.au/property/23-wellow-way-donnybrook-vic-3064,2,7,0.2857,5.7
https://www.yourpropertyguide.com.au/property/24-banyan-way-tarneit-vic-3029,2,6,0.3333,8
https://www.yourpropertyguide.com.au/property/258-kent-road-mullion-creek-nsw-2800,2,8,0.25,4
https://www.yourpropertyguide.com.au/property/34-howard-street-randwick-nsw-2031,2,7,0.2857,8.3
https://www.yourpropertyguide.com.au/property/36-irontree-close-kangaroo-flat-vic-3555,2,5,0.4,7.8
https://www.yourpropertyguide.com.au/property/37-hope-way-tarneit-vic-3029,2,4,0.5,4.5
https://www.yourpropertyguide.com.au/property/38-bunyip-avenue-gilead-nsw-2560,2,9,0.2222,4.9
https://www.yourpropertyguide.com.au/property/38-howard-street-randwick-nsw-2031,2,5,0.4,11
https://www.yourpropertyguide.com.au/property/40-heartlands-boulevard-tarneit-vic-3029,2,29,0.069,8.2
https://www.yourpropertyguide.com.au/property/41-birregurra-drive-tarneit-vic-3029,2,2,1,4
https://www.yourpropertyguide.com.au/property/47-vauxhall-street-virginia-qld-4014,2,6,0.3333,6
https://www.yourpropertyguide.com.au/property/49-thurecht-street-maryborough-qld-4650,2,3,0.6667,9.7
https://www.yourpropertyguide.com.au/property/55-burnhams-lane-exeter-nsw-2579,2,15,0.1333,7.1
https://www.yourpropertyguide.com.au/property/79-eastside-boulevard-donnybrook-vic-3064,2,2,1,2
https://www.yourpropertyguide.com.au/property/8-elsdale-close-donnybrook-vic-3064,2,32,0.0625,6.5
https://www.yourpropertyguide.com.au/property/8-grant-street-buderim-qld-4556,2,6,0.3333,10.3
https://www.yourpropertyguide.com.au/property/86-eastside-boulevard-donnybrook-vic-3064,2,61,0.0328,9.9
https://www.yourpropertyguide.com.au/property/9-reaside-road-walloon-qld-4306,2,56,0.0357,9.7
https://www.yourpropertyguide.com.au/property/90-east-glen-port-sorell-tas-7307,2,41,0.0488,8.2
https://www.yourpropertyguide.com.au/property/unit-1-28-goodwin-street-narrabeen-nsw-2101,2,6,0.3333,5.7
https://www.yourpropertyguide.com.au/property/unit-1028-13-oscar-place-eastgardens-nsw-2036,2,32,0.0625,7.0
https://www.yourpropertyguide.com.au/property/unit-2-24b-arthur-street-randwick-nsw-2031,2,20,0.1,10.2
https://www.yourpropertyguide.com.au/property/unit-2-34-howard-street-randwick-nsw-2031,2,3,0.6667,7.3
https://www.yourpropertyguide.com.au/property/unit-215-18-fennelly-street-randwick-nsw-2031,2,6,0.3333,1
https://www.yourpropertyguide.com.au/property/unit-3-3-green-street-ivanhoe-vic-3079,2,43,0.0465,8.9
https://www.yourpropertyguide.com.au/property/unit-37-1a-gloucester-avenue-burwood-nsw-2134,2,37,0.0541,11.2
https://www.yourpropertyguide.com.au/property/unit-513-16-fennelly-street-randwick-nsw-2031,2,24,0.0833,3.9
https://www.yourpropertyguide.com.au/property/unit-6-47-49-arthur-street-randwick-nsw-2031,2,4,0.5,4.8
https://www.yourpropertyguide.com.au/property/unit-7-11a-randwick-street-randwick-nsw-2031,2,6,0.3333,12.2
https://www.yourpropertyguide.com.au/property/unit-8-12-dine-street-randwick-nsw-2031,2,13,0.1538,5.8
https://www.yourpropertyguide.com.au/schools/south-thornlie-primary-school-48617/vs/yale-primary-school-48570,2,8,0.25,5.1
https://www.yourpropertyguide.com.au/suburbs/alphington-vic-3078/rental-market,2,23,0.087,17.8
https://www.yourpropertyguide.com.au/suburbs/bakers-bend-qld-4470,2,9,0.2222,10.9
https://www.yourpropertyguide.com.au/suburbs/balfes-creek-qld-4820,2,18,0.1111,4.9
https://www.yourpropertyguide.com.au/suburbs/bargara-qld-4670/garson-drive,2,37,0.0541,8.1
https://www.yourpropertyguide.com.au/suburbs/belfield-nsw-2191/vs/belmore-nsw-2192,2,60,0.0333,14.8
https://www.yourpropertyguide.com.au/suburbs/berwick-vic-3806/carnival-boulevard,2,134,0.0149,9.0
https://www.yourpropertyguide.com.au/suburbs/berwick-vic-3806/reid-mews,2,93,0.0215,8.7
https://www.yourpropertyguide.com.au/suburbs/bullsbrook-wa-6084/vickers-way,2,93,0.0215,5.9
https://www.yourpropertyguide.com.au/suburbs/bullsbrook-wa-6084/warbrook-road,2,100,0.02,9.0
https://www.yourpropertyguide.com.au/suburbs/bullsbrook-wa-6084/yarrimbah-drive,2,31,0.0645,8.1
https://www.yourpropertyguide.com.au/suburbs/burra-sa-5417,2,244,0.0082,8.2
https://www.yourpropertyguide.com.au/suburbs/canada-bay-nsw-2046/schools,2,44,0.0455,10.9
https://www.yourpropertyguide.com.au/suburbs/canterbury-vic-3126/burnside-avenue,2,10,0.2,9.2
https://www.yourpropertyguide.com.au/suburbs/casuarina-nsw-2487,2,337,0.0059,9.3
https://www.yourpropertyguide.com.au/suburbs/catherine-hill-bay-nsw-2281,2,477,0.0042,9.9
https://www.yourpropertyguide.com.au/suburbs/clearview-sa-5085/rental-market,2,17,0.1176,8
https://www.yourpropertyguide.com.au/suburbs/como-wa-6152/rental-market,2,5,0.4,9.6
https://www.yourpropertyguide.com.au/suburbs/donnybrook-vic-3064/rind-crescent,2,38,0.0526,7.1
https://www.yourpropertyguide.com.au/suburbs/essendon-vic-3040/vs/strathmore-vic-3041,2,88,0.0227,8.2
https://www.yourpropertyguide.com.au/suburbs/gembrook-vic-3783,2,348,0.0057,9.6
https://www.yourpropertyguide.com.au/suburbs/holmesglen-vic-3148/vs/jordanville-vic-3148,2,61,0.0328,11.4
https://www.yourpropertyguide.com.au/suburbs/illowa-vic-3282,2,18,0.1111,7.1
https://www.yourpropertyguide.com.au/suburbs/jimboomba-qld-4280/hill-street,2,57,0.0351,8.9
https://www.yourpropertyguide.com.au/suburbs/karawara-wa-6152/crana-place,2,36,0.0556,7.6
https://www.yourpropertyguide.com.au/suburbs/karingal-centre-vic-3199,2,248,0.0081,8.0
https://www.yourpropertyguide.com.au/suburbs/kiwirrkurra-wa-0872,2,227,0.0088,7.8
https://www.yourpropertyguide.com.au/suburbs/lake-mokoan-vic-3673,2,8,0.25,4.2
https://www.yourpropertyguide.com.au/suburbs/lurnea-nsw-2170/webster-road,2,172,0.0116,8.7
https://www.yourpropertyguide.com.au/suburbs/macedon-vic-3440/grandview-avenue,2,40,0.05,8.6
https://www.yourpropertyguide.com.au/suburbs/macnamara-act-2615/schools,2,10,0.2,6.2
https://www.yourpropertyguide.com.au/suburbs/marden-sa-5070,2,34,0.0588,10.4
https://www.yourpropertyguide.com.au/suburbs/moama-nsw-2731/burgundy-drive,2,98,0.0204,9.3
https://www.yourpropertyguide.com.au/suburbs/mons-qld-4556/mons-school-road,2,79,0.0253,9.3
https://www.yourpropertyguide.com.au/suburbs/mount-louisa-qld-4814/argus-court,2,16,0.125,8.1
https://www.yourpropertyguide.com.au/suburbs/north-richmond-nsw-2754/ploughmans-boulevard,2,14,0.1429,10
https://www.yourpropertyguide.com.au/suburbs/padstow-nsw-2211/vs/revesby-nsw-2212,2,14,0.1429,7.4
https://www.yourpropertyguide.com.au/suburbs/peterborough-sa-5422/rental-market,2,6,0.3333,14.7
https://www.yourpropertyguide.com.au/suburbs/port-noarlunga-south-sa-5167/rental-market,2,27,0.0741,8.7
https://www.yourpropertyguide.com.au/suburbs/quindalup-wa-6281/geographe-bay-road,2,453,0.0044,8.4
https://www.yourpropertyguide.com.au/suburbs/redcliffe-qld-4020/crawford-street,2,75,0.0267,9.5
https://www.yourpropertyguide.com.au/suburbs/regency-downs-qld-4341/schools,2,8,0.25,9.1
https://www.yourpropertyguide.com.au/suburbs/sheffield-tas-7306/smythe-street,2,17,0.1176,8.7
https://www.yourpropertyguide.com.au/suburbs/south-brighton-sa-5048/rental-market,2,20,0.1,30.9
https://www.yourpropertyguide.com.au/suburbs/symonston-act-2609/schools,2,4,0.5,5
https://www.yourpropertyguide.com.au/suburbs/tannum-sands-qld-4680/glenville-street,2,9,0.2222,9.1
https://www.yourpropertyguide.com.au/suburbs/tannum-sands-qld-4680/onslow-street,2,60,0.0333,8.5
https://www.yourpropertyguide.com.au/suburbs/taralga-nsw-2580,2,447,0.0045,9.5
https://www.yourpropertyguide.com.au/suburbs/umina-beach-nsw-2257/ocean-beach-road,2,125,0.016,9.1
https://www.yourpropertyguide.com.au/suburbs/walloon-qld-4306/kendall-street,2,55,0.0364,8.7
https://www.yourpropertyguide.com.au/suburbs/walloon-qld-4306/verrall-way,2,45,0.0444,8.9
https://www.yourpropertyguide.com.au/suburbs/wangaratta-vic-3677/cruse-street,2,43,0.0465,8.7
https://www.yourpropertyguide.com.au/suburbs/wangaratta-vic-3677/reginald-court,2,243,0.0082,7.5
https://www.yourpropertyguide.com.au/suburbs/waverton-nsw-2060/bay-road,2,143,0.014,9.4
https://www.yourpropertyguide.com.au/suburbs/wodonga-vic-3690/aurora-way,2,4,0.5,9.5
https://www.yourpropertyguide.com.au/suburbs/wycheproof-vic-3527/jubilee-street,2,10,0.2,8.5
https://www.yourpropertyguide.com.au/suburbs/wycheproof-vic-3527/pellegrinos-road,2,5,0.4,7.6
https://www.yourpropertyguide.com.au/suburbs/yarrabilba-qld-4207/rental-market,2,31,0.0645,9.2
https://yourpropertyguide.com.au/,2,4,0.5,5
https://www.yourpropertyguide.com.au/about,1,175,0.0057,24.9
https://www.yourpropertyguide.com.au/best-suburbs/lowest-flood-risk/vic,1,29,0.0345,7
https://www.yourpropertyguide.com.au/best-suburbs/lowest-flood-risk/wa,1,7,0.1429,6.9
https://www.yourpropertyguide.com.au/best-suburbs/most-affordable/act,1,193,0.0052,14.6
https://www.yourpropertyguide.com.au/best-suburbs/most-affordable/wa,1,133,0.0075,17
https://www.yourpropertyguide.com.au/best-suburbs/most-walkable/nsw,1,39,0.0256,9.9
https://www.yourpropertyguide.com.au/best-suburbs/most-walkable/wa,1,26,0.0385,12.2
https://www.yourpropertyguide.com.au/buy/28-spearmint-street-griffin-qld-4503,1,33,0.0303,7.8
https://www.yourpropertyguide.com.au/buy/4-18-20-wyllie-street-redcliffe-qld-4020,1,80,0.0125,17.2
https://www.yourpropertyguide.com.au/buying-guide,1,156,0.0064,67.2
https://www.yourpropertyguide.com.au/for-agents,1,286,0.0035,69.8
https://www.yourpropertyguide.com.au/glossary/appreciation,1,2,0.5,6
https://www.yourpropertyguide.com.au/guides/apra-3-percent-buffer-new-lending-limits-2026,1,26,0.0385,14.5
https://www.yourpropertyguide.com.au/guides/best-brisbane-suburbs-for-families-2026,1,252,0.004,53.6
https://www.yourpropertyguide.com.au/guides/first-home-buyer-act,1,55,0.0182,21.3
https://www.yourpropertyguide.com.au/guides/real-estate-commission-act,1,218,0.0046,35.2
https://www.yourpropertyguide.com.au/guides/real-estate-commission-nt,1,278,0.0036,7.0
https://www.yourpropertyguide.com.au/guides/renters-rights-nsw,1,150,0.0067,48.0
https://www.yourpropertyguide.com.au/guides/renters-rights-tas,1,63,0.0159,22.7
https://www.yourpropertyguide.com.au/guides/renters-rights-vic,1,82,0.0122,41.7
https://www.yourpropertyguide.com.au/guides/renters-rights-wa,1,98,0.0102,31.9
https://www.yourpropertyguide.com.au/guides/sydney-property-market-2026,1,86,0.0116,22.1
https://www.yourpropertyguide.com.au/market-reports/sa,1,20,0.05,29.6
https://www.yourpropertyguide.com.au/market-reports/tas,1,55,0.0182,31.5
https://www.yourpropertyguide.com.au/postcodes/2168,1,82,0.0122,8.2
https://www.yourpropertyguide.com.au/postcodes/2192,1,132,0.0076,9.4
https://www.yourpropertyguide.com.au/postcodes/2309,1,36,0.0278,8.4
https://www.yourpropertyguide.com.au/postcodes/2445,1,8,0.125,9.4
https://www.yourpropertyguide.com.au/postcodes/2834,1,732,0.0014,9.1
https://www.yourpropertyguide.com.au/postcodes/3099,1,405,0.0025,10.1
https://www.yourpropertyguide.com.au/postcodes/3190,1,43,0.0233,7.9
https://www.yourpropertyguide.com.au/postcodes/3192,1,624,0.0016,8.7
https://www.yourpropertyguide.com.au/postcodes/3199,1,157,0.0064,9.4
https://www.yourpropertyguide.com.au/postcodes/3260,1,15,0.0667,6.5
https://www.yourpropertyguide.com.au/postcodes/3333,1,14,0.0714,7.1
https://www.yourpropertyguide.com.au/postcodes/3423,1,2,0.5,1.5
https://www.yourpropertyguide.com.au/postcodes/3442,1,3,0.3333,6.7
https://www.yourpropertyguide.com.au/postcodes/4005,1,1022,0.001,9.5
https://www.yourpropertyguide.com.au/postcodes/4013,1,354,0.0028,9.6
https://www.yourpropertyguide.com.au/postcodes/4064,1,28,0.0357,8.3
https://www.yourpropertyguide.com.au/postcodes/4118,1,2365,0.0004,9.7
https://www.yourpropertyguide.com.au/postcodes/4362,1,134,0.0075,10.1
https://www.yourpropertyguide.com.au/postcodes/4710,1,34,0.0294,10.8
https://www.yourpropertyguide.com.au/postcodes/4801,1,68,0.0147,5.1
https://www.yourpropertyguide.com.au/postcodes/4806,1,5,0.2,6.2
https://www.yourpropertyguide.com.au/postcodes/5042,1,56,0.0179,10.7
https://www.yourpropertyguide.com.au/postcodes/5070,1,205,0.0049,9.3
https://www.yourpropertyguide.com.au/postcodes/5158,1,16,0.0625,8.7
https://www.yourpropertyguide.com.au/postcodes/6069,1,48,0.0208,14.0
https://www.yourpropertyguide.com.au/postcodes/6537,1,224,0.0045,8.2
https://www.yourpropertyguide.com.au/postcodes/7010,1,163,0.0061,9.0
https://www.yourpropertyguide.com.au/postcodes/9999,1,77,0.013,7.4
https://www.yourpropertyguide.com.au/property-market/melbourne,1,132,0.0076,46.2
https://www.yourpropertyguide.com.au/property/1-arthur-street-randwick-nsw-2031,1,25,0.04,10.5
https://www.yourpropertyguide.com.au/property/1-fraser-avenue-eastgardens-nsw-2036,1,6,0.1667,6.7
https://www.yourpropertyguide.com.au/property/1-generosa-grove-tarneit-vic-3029,1,2,0.5,6
https://www.yourpropertyguide.com.au/property/1-ingleton-court-narre-warren-vic-3805,1,5,0.2,9.2
https://www.yourpropertyguide.com.au/property/1-long-point-road-mullion-creek-nsw-2800,1,3,0.3333,6.7
https://www.yourpropertyguide.com.au/property/1-meribel-lane-mons-qld-4556,1,3,0.3333,5.3
https://www.yourpropertyguide.com.au/property/1-peppercorn-street-sunnybank-hills-qld-4109,1,3,0.3333,6.3
https://www.yourpropertyguide.com.au/property/1-sollya-place-sunnybank-hills-qld-4109,1,4,0.25,5.5
https://www.yourpropertyguide.com.au/property/10-celestial-circuit-tarneit-vic-3029,1,14,0.0714,6.9
https://www.yourpropertyguide.com.au/property/10-lansbury-close-adamstown-heights-nsw-2289,1,4,0.25,7.8
https://www.yourpropertyguide.com.au/property/10-leanyer-street-tarneit-vic-3029,1,7,0.1429,11
https://www.yourpropertyguide.com.au/property/10-lehmann-court-buderim-qld-4556,1,119,0.0084,10.0
https://www.yourpropertyguide.com.au/property/10-mathewson-street-eastgardens-nsw-2036,1,16,0.0625,9.3
https://www.yourpropertyguide.com.au/property/10-ollis-street-quindalup-wa-6281,1,1,1,11
https://www.yourpropertyguide.com.au/property/10-toohey-cove-eleebana-nsw-2282,1,4,0.25,6.5
https://www.yourpropertyguide.com.au/property/101-wyndham-way-eleebana-nsw-2282,1,6,0.1667,7
https://www.yourpropertyguide.com.au/property/103-williams-road-wangaratta-vic-3677,1,2,0.5,5
https://www.yourpropertyguide.com.au/property/1039-worlds-end-highway-point-pass-sa-5374,1,3,0.3333,5
https://www.yourpropertyguide.com.au/property/107-tennyson-road-tennyson-point-nsw-2111,1,3,0.3333,9
https://www.yourpropertyguide.com.au/property/11-arthur-street-randwick-nsw-2031,1,4,0.25,9.5
https://www.yourpropertyguide.com.au/property/11-aspera-way-kangaroo-flat-vic-3555,1,3,0.3333,5
https://www.yourpropertyguide.com.au/property/11-bendigo-drive-tarneit-vic-3029,1,4,0.25,6
https://www.yourpropertyguide.com.au/property/11-crescent-road-gympie-qld-4570,1,1,1,7
https://www.yourpropertyguide.com.au/property/11-diana-street-maryborough-qld-4650,1,4,0.25,8.2
https://www.yourpropertyguide.com.au/property/11-oradala-court-greenwith-sa-5125,1,2,0.5,11
https://www.yourpropertyguide.com.au/property/11-yallaroi-parade-dangar-island-nsw-2083,1,3,0.3333,6.7
https://www.yourpropertyguide.com.au/property/111-wyndham-way-eleebana-nsw-2282,1,2,0.5,8.5
https://www.yourpropertyguide.com.au/property/114-mccracken-street-essendon-vic-3040,1,2,0.5,5
https://www.yourpropertyguide.com.au/property/117-walderton-avenue-balga-wa-6061,1,14,0.0714,5.1
https://www.yourpropertyguide.com.au/property/12-arthur-street-randwick-nsw-2031,1,3,0.3333,7
https://www.yourpropertyguide.com.au/property/12-ashbury-street-adamstown-heights-nsw-2289,1,1,1,9
https://www.yourpropertyguide.com.au/property/12-bellaroi-parade-gilead-nsw-2560,1,1,1,7
https://www.yourpropertyguide.com.au/property/12-charles-conder-place-berwick-vic-3806,1,7,0.1429,9.9
https://www.yourpropertyguide.com.au/property/12-clutha-street-westlake-qld-4074,1,8,0.125,8.5
https://www.yourpropertyguide.com.au/property/12-daintree-entrance-donnybrook-vic-3064,1,1,1,7
https://www.yourpropertyguide.com.au/property/12-ellendale-street-balwyn-north-vic-3104,1,2,0.5,9
https://www.yourpropertyguide.com.au/property/12-ellison-street-gilead-nsw-2560,1,6,0.1667,8.5
https://www.yourpropertyguide.com.au/property/12-faul-street-adamstown-heights-nsw-2289,1,4,0.25,9
https://www.yourpropertyguide.com.au/property/12-high-street-inverleigh-vic-3321,1,5,0.2,8.2
https://www.yourpropertyguide.com.au/property/12-toohey-crescent-adamstown-heights-nsw-2289,1,4,0.25,6
https://www.yourpropertyguide.com.au/property/12-watsons-road-diggers-rest-vic-3427,1,1,1,15
https://www.yourpropertyguide.com.au/property/12-wollundry-close-eleebana-nsw-2282,1,4,0.25,9.8
https://www.yourpropertyguide.com.au/property/124-welcome-road-diggers-rest-vic-3427,1,14,0.0714,9.3
https://www.yourpropertyguide.com.au/property/12a-pearson-street-lambton-nsw-2299,1,1,1,4
https://www.yourpropertyguide.com.au/property/13-richardson-street-essendon-vic-3040,1,6,0.1667,7.7
https://www.yourpropertyguide.com.au/property/13-rural-road-officer-south-vic-3809,1,1,1,4
https://www.yourpropertyguide.com.au/property/13-vega-street-balwyn-north-vic-3104,1,11,0.0909,7.3
https://www.yourpropertyguide.com.au/property/130-alexandra-street-kawana-qld-4701,1,4,0.25,6.8
https://www.yourpropertyguide.com.au/property/130-westlake-drive-westlake-qld-4074,1,10,0.1,6
https://www.yourpropertyguide.com.au/property/131a-clontarf-street-sorrento-wa-6020,1,2,0.5,9
https://www.yourpropertyguide.com.au/property/133-clontarf-street-sorrento-wa-6020,1,2,0.5,9
https://www.yourpropertyguide.com.au/property/134-silkyoak-circuit-fitzgibbon-qld-4018,1,5,0.2,11
https://www.yourpropertyguide.com.au/property/14-bellaroi-parade-gilead-nsw-2560,1,2,0.5,5.5
https://www.yourpropertyguide.com.au/property/14-diana-street-maryborough-qld-4650,1,3,0.3333,4
https://www.yourpropertyguide.com.au/property/14-ellendale-street-balwyn-north-vic-3104,1,3,0.3333,6.7
https://www.yourpropertyguide.com.au/property/14-emery-drive-dingley-village-vic-3172,1,4,0.25,7.5
https://www.yourpropertyguide.com.au/property/14-floribunda-road-tarneit-vic-3029,1,4,0.25,6.2
https://www.yourpropertyguide.com.au/property/14-india-street-capalaba-qld-4157,1,15,0.0667,5
https://www.yourpropertyguide.com.au/property/14-lehmann-court-buderim-qld-4556,1,4,0.25,5.8
https://www.yourpropertyguide.com.au/property/14-ney-road-capalaba-qld-4157,1,5,0.2,9.6
https://www.yourpropertyguide.com.au/property/14-paterson-road-walloon-qld-4306,1,56,0.0179,7.9
https://www.yourpropertyguide.com.au/property/14-pineneedle-place-sunnybank-hills-qld-4109,1,5,0.2,8.2
https://www.yourpropertyguide.com.au/property/1453-gum-creek-road-willbriggie-nsw-2680,1,2,0.5,7.5
https://www.yourpropertyguide.com.au/property/14a-george-street-redcliffe-qld-4020,1,1,1,5
https://www.yourpropertyguide.com.au/property/14c-tratton-street-balga-wa-6061,1,12,0.0833,8.4
https://www.yourpropertyguide.com.au/property/15-bundeena-drive-bundeena-nsw-2230,1,3,0.3333,5
https://www.yourpropertyguide.com.au/property/15-cramond-avenue-wangaratta-vic-3677,1,3,0.3333,5.3
https://www.yourpropertyguide.com.au/property/15-kempwood-close-adamstown-heights-nsw-2289,1,3,0.3333,8.3
https://www.yourpropertyguide.com.au/property/15-seattle-street-balwyn-north-vic-3104,1,11,0.0909,7.9
https://www.yourpropertyguide.com.au/property/159-elm-drive-tumut-nsw-2720,1,1,1,5
https://www.yourpropertyguide.com.au/property/16-18-taylors-road-walloon-qld-4306,1,4,0.25,10.2
https://www.yourpropertyguide.com.au/property/16-broughton-street-tumut-nsw-2720,1,1,1,5
https://www.yourpropertyguide.com.au/property/16-burton-road-eleebana-nsw-2282,1,1,1,5
https://www.yourpropertyguide.com.au/property/16-floribunda-road-tarneit-vic-3029,1,3,0.3333,4.7
https://www.yourpropertyguide.com.au/property/16-fraser-avenue-eastgardens-nsw-2036,1,35,0.0286,8.5
https://www.yourpropertyguide.com.au/property/16-generosa-grove-tarneit-vic-3029,1,7,0.1429,6.3
https://www.yourpropertyguide.com.au/property/16-monitor-street-adamstown-heights-nsw-2289,1,6,0.1667,12.7
